Material ID,Formula,Crystal System,Sites,Energy Above Hull,Formation Energy,Volume,Density,Band Gap,Is Gap Direct,Is Metal,Magnetic Ordering,Total Magnetization
mp-1105734,Ho2Co7,Trigonal,18,0.045915288,-0.105561137,251.6019227,9.799389246,0,False,True,FiM,9.1183099
mp-1105870,Nd2Co7,Trigonal,18,0.032920247,0.014037694,260.8245947,8.926037529,0,False,True,FiM,14.5668467
mp-1106043,Sm2Co7,Trigonal,18,0.040468734,-0.024810639,260.5401232,9.091754482,0,False,True,FiM,4.5143605
mp-1106330,Pr2Co7,Trigonal,18,0.041296096,0.039701648,271.9556232,8.479261505,0,False,True,FiM,15.6261128
mp-1188333,Y2Co7,Trigonal,18,0.077357114,-0.03027964,256.9106519,7.631364253,0,False,True,AFM,0.0763261
mp-1188496,Dy2Co7,Trigonal,18,0.009120804,-0.130271824,255.7672392,9.576686277,0,False,True,FiM,12.4104206
mp-1188546,Th2Co7,Trigonal,18,0.023621761,-0.088646942,265.0962304,10.98199422,0,False,True,FM,6.6311172
mp-1188550,Ce2Co7,Trigonal,18,0.034658022,-0.121471789,255.148936,9.017182748,0,False,True,FiM,7.4319245
mp-1189382,La2Co7,Trigonal,18,0.029885577,0.007871322,271.3637617,8.448748059,0,False,True,FiM,16.2794039
mp-1189465,Tm2Co7,Trigonal,18,0.001886182,-0.166105441,253.1030321,9.84634446,0,False,True,FiM,18.4600269
mp-1189949,Lu2Co7,Trigonal,18,0,-0.185575829,249.1350529,10.1640068,0,False,True,FiM,16.5643798
mp-1205432,Tb2Co7,Trigonal,18,0.006579357,-0.120553648,256.6327897,9.451867898,0,False,True,FiM,17.3509029
mp-567747,Co7Mo6,Trigonal,13,0.011532919,0.011532919,166.2776297,9.868428002,0,False,True,FM,1.3353657
mp-569509,Er2Co7,Trigonal,18,0.005050067,-0.162331211,253.8746517,9.772589011,0,False,True,FiM,18.0318614
mp-7250,Nb6Co7,Trigonal,13,0.005622903,-0.150089825,181.263656,8.885808577,0,False,True,FM,1.1222784
mp-1196386,Ce2Co7,Hexagonal,36,0.048536807,-0.107593004,511.589601,8.994414976,0,False,True,NM,0.0007111
mp-1197933,Pr2Co7,Hexagonal,36,0.062118611,0.060524164,544.2069764,8.474653752,0,False,True,FiM,21.3905349
mp-1198482,Nd2Co7,Hexagonal,36,0.06323459,0.044352037,541.8572889,8.593148671,0,False,True,FiM,19.0136996
mp-540547,Sm2Co7,Hexagonal,36,0,-0.065279373,529.5709198,8.945985304,0,False,True,FiM,34.7964771
